Rank,Song,Artist,Year,Lyrics,Source
1,wooly bully,"sam the sham and the pharaohs
",1965,"uno, dos, one, two, tres, quatro
matty told hatty about a thing she saw.
had two big horns and a wooly jaw.
wooly bully, wooly bully.
wooly bully, wooly bully, wooly bully.
hatty told matty, ""let's don't take no chance.
let's not be*l-seven*, come and learn to dance.""
wooly bully, wooly bully
wooly bully, wooly bully, wooly bully.
matty told hatty, ""that's the thing to do.
get you someone really to pull the wool with you.""
wooly bully, wooly bully.
wooly bully, wooly bully, wooly bully.",0
2,i can't help myself (sugar pie honey bunch),"four tops
",1965,"ooh, sugar pie, honey bunch
you know that i love you
i can't help myself
i love you and nobody else

in and out my life (in and out my life)
you come and you go (you come and you go)
leaving just your picture behind (ooh)
and i've kissed it a thousand times (ooh)

when you snap your finger or wink your eye
i come a-running to you
i'm tied to your apron strings
and there's nothing that i can do, ooh

i can't help myself
no, i can't help myself

'cause sugar pie, honey bunch (sugar pie, honey bunch)
i'm weaker than a man should be
i can't help myself
i'm a fool in love, you see

wanna tell you i don't love you
tell you that we're through and i try
but every time i see your face (can't help myself)
i get all choked up inside

when i call your name
girl, it starts to flame (burning in my heart, tearing it all apart)
no matter how i try
my love i cannot hide

'cause sugar pie, honey bunch (sugar pie, honey bunch)
you know that i'm waiting for you (waiting for you)
i can't help myself
i love you and nobody else, ooh

sugar pie, honey bunch (sugar pie, honey bunch)
i'd do anything you ask me to (ask me to)
i can't help myself
i want you and nobody else, ooh

sugar pie, honey bunch (sugar pie, honey bunch)
you know that i love you (love you)
i can't help myself
no, i can't help myself, ooh

sugar pie, honey bunch (sugar pie, honey bunch)
you know that i love you",0
3,(i can't get no) satisfaction,"the rolling stones
",1965,"hey look
i can't get no satisfaction
i can't get no satisfaction
i try and i try and i try and i try
i can't get no, i can't get no

when i'm drivin' in my car
and that man comes on the radio
and he's tellin' me more and more
about some useless information
supposed to drive my imagination
i can't get no, no no
hey hey hey, that's what i say

i can't get no satisfaction
i can't get no satisfaction
i try and i try and i try and i try
i can't get no, i can't get no

when i'm watchin' my tv
and a man comes on to tell me
how white my shirts can be
well he can't be a man 'cause he doesn't smoke
the same cigarettes as me
i can't get no, no no no
hey hey hey, that's what i say

i can't get no satisfaction
i can't get no girl reaction
i try and i try and i try and i try try try
i can't get no, i can't get no

when i'm ridin' round the world
and i'm doin' this and i'm signing that
and i'm tryin' to make some girl
who tells me baby better come back later next week
you see i'm on losing streak
i can't get no, no no no
hey hey hey, that's what i say

i
do some
[incomprehensible] satisfaction
i won't get satisfaction
we don't get satisfaction
you don't see satisfaction

[incomprehensible]
hey, i say

[incomprehensible]
yeah
yeah",0
4,you were on my mind,"we five
",1965,"verse 1

when i woke up this morning
you were on my mind
and you were on my mind
i got troubles, whoa-oh
i got worries, whoa-oh
i got wounds to bind

verse 2:

so i went to the corner
just to ease my pains
yeah, just to ease my pains
i got troubles, whoa-oh
i got worries, whoa-oh
i came home again

[repeat verse 1]

when i woke up this morning
you were on my mi-i-i-ind and
you were on my mind
i got troubles, whoa-oh
i got worries, whoa-oh
i got wounds to bind

bridge:

and i got a feelin'
down in my sho-oo-oo-oes, said
way down in my sho-oo-oes
yeah, i got to ramble, whoa-oh
i got to move on, whoa-oh
i got to walk away my blues

[repeat verse 1]

when i woke up this morning
you were on my mind
you were on my mind
i got troubles, whoa-oh
i got worries, whoa-oh
i got wounds to bind",0
5,you've lost that lovin' feelin',"the righteous brothers
",1965,"you never close your eyes anymore when i kiss your lips.
and there's no tenderness like before in your fingertips.
you're trying hard not to show it, (baby).
but baby, baby i know it...

you've lost that lovin' feeling
whoa, that lovin' feeling
you've lost that lovin' feeling
now it's gone... gone... gone... wooooooh.

now there's no welcome look in your eyes when i reach for you.
and now your're starting to critisize little things i do.
it makes me just feel like crying, (baby).
'cause baby, something in you is dying.

you lost that lovin' feeling
whoa, that lovin' feeling
you've lost that lovin' feeling
now it's gone... gone... gone... woooooah

baby, baby, i get down on my knees for you.
if you would only love me like you used to do, yeah.
we had a love... a love... a love you don't find everyday.
so don't... don't... don't... don't let it slip away.

baby (baby), baby (baby)
i beg of you please... please
i need your love (i need your love), i need your love (i need your love)
so bring it on back (so bring it on back), bring it on back (so bring it on back).
bring back that lovin' feeling
whoa, that lovin' feeling

bring back that lovin' feeling
'cause it's gone... gone... gone
and i can't go on
noooo...
bring back that lovin' feeling
whoa, that lovin' feeling
bring back that lovin' feeling
'cause it's gone... gone...",0
6,downtown,"petula clark
",1965,"when you're alone and life is making you lonely
you can always go - downtown.
when you've got worries all the noise and the hurry
seems to help i know downtown.

just listen to the music of the traffic in the city
linger on the sidewalk where the neon signs are pretty
how can you lose?

the lights are much brighter there
you can forget all your troubles, forget all your cares
so go downtown
things will be great when you're downtown
no finer place for sure downtown
everything's waiting for you.

don't hang around and let your problems surround you
there are movie shows downtown.
maybe you know some little places to go to
where they never close downtown.

just listen to the rhythm of a gentle bossa nova

you'll be dancing with 'em too before the night is over

happy again.
the lights are much brighter there
you can forget all your troubles, forget all your cares
so go - downtown
where all the lights are bright downtown
waiting for you tonight downtown
you're gonna be alright now
downtown
downtown

downtown
and you may find somebody kind to help and understand you
someone who is just like you and needs a gentle hand to

guide them along.
so maybe i'll see you there
we can forget all our troubles, forget all our cares
so go downtown
things will be great when you're downtown

don't wait a minute more downtown
everything is waiting for you
downtown
downtown
downtown
downtown
downtown
downtown
downtown...",0
7,help!,"the beatles
",1965,"help, i need somebody
help, not just anybody
help, you know i need someone
help!

when i was younger, so much younger than today
i never needed anybody's help in any way
but now these days are gone i'm not so self-assured
now i find i've changed my mind and opened up the doors

help me if you can, i'm feeling down
and i do appreciate you being 'round
help me get my feet back on the ground
won't you please, please help me?

and now my life has changed in oh so many ways
my independence seems to vanish in the haze
but every now and then i feel so insecure
i know that i just need you like i've never done before

help me if you can, i'm feeling down
and i do appreciate you being 'round
help me get my feet back on the ground
won't you please, please help me?

when i was younger, so much younger than today
i never needed anybody's help in any way
but now these days are gone i'm not so self-assured
now i find i've changed my mind, i've opened up the doors

help me if you can, i'm feeling down
and i do appreciate you being 'round
help me get my feet back on the ground
won't you please, please help me?
help me, help me, ooo",0
8,can't you hear my heartbeat,"herman's hermits
",1965,"every time i see you lookin' my way
baby, baby, can't you hear my heartbeat?
in the car or walkin' down the highway
baby, baby, can't you hear my heartbeat?

when you move up closer to me
i get a feeling that's ooo-wee

can't you hear the poundin' of my heartbeat?
'cause you're the one i love
you're the one i love

when i feel you put your arms around me
baby, baby, can't you hear my heartbeat?
then i'm glad, i'm mighty glad i found you
baby, baby, can't you hear my heartbeat?

when you asked me to meet your ma
i knew that baby, we'd be going far

can't you hear the pounding of my heartbeat?
'cause you're the one i love
you're the one i love

all my friends are cryin' out to meet you
baby, baby, can't you hear my heartbeat?
now's the time to go and see the preacher
baby, baby, can't you hear my heartbeat?

wedding bells are gonna chime
baby, baby, you're gonna be mine

can't you hear the pounding of my heartbeat?
'cause you're the one i love
you're the one i love

baby, baby, can't you hear my heartbeat?
baby, baby, can't you hear my heartbeat?
baby, baby, can't you hear my heartbeat?",0
9,crying in the chapel,"elvis presley
",1965,"you saw me crying in the chapel
the tears i shed were tears of joy
i know the meaning of contentment
now i am happy with the lord

just a plain and simple chapel
where humble people go to pray
i pray, the lord, that i'll grow stronger
as i live from day to day

i've searched and i've searched
but i couldn't find
no way on earth
to gain peace of mind

now i'm happy in the chapel
where people are of one accord
yes, we gather in the chapel
just to sing and praise the lord

you'll search and you'll search
but you'll never find
no way on earth
to gain peace of mind

take your troubles to the chapel
get down on your knees and pray
then your burdens will be lighter
and you'll surely find the way",0
10,my girl,"the temptations
",1965,"i've got sunshine
on a cloudy day
when it's cold outside
i've got the moth of may
well, i guess you say
what can make me feel this way
my girl, talkin bout my girl
my girl
i've got so much honey
the bees envy me
i've got a sweeter song
than the birds in the trees
well, i guess you say
what can make me feel this way
my girl, talkin bout my girl
my girl
i don't need no money
fortune or fame
i got all the riches baby
one man can claim
well, i guess you say
what can make me feel this way
my girl, talkin bout my girl
my girl
i got sunshine on a cloudy day
with my girl
i've even got the month of may
with my girl
talkin bout, talkin bout my girl
my girl
all i can talk about is my girl
my girl",0
